0:CT-Date:PR-MonthName	0:CT-Date:PR-Day	0:CT-Date:PR-Year	1:CT-Time:PR-Hours	1:CT-Time:PR-Minutes	1:CT-Time:PR-TimeMeridian	1:CT-Time:PR-TimeZone	2:CT-Time:PR-Hours	2:CT-Time:PR-Minutes	2:CT-Time:PR-TimeMeridian	3:CT-Time:PR-Hours	3:CT-Time:PR-Minutes	3:CT-Time:PR-TimeMeridian	3:CT-Time:PR-TimeZone	4:CT-Time:PR-Hours	4:CT-Time:PR-Minutes	4:CT-Time:PR-TimeMeridian	5:PR-Place	6:CT-CityState:PR-City	6:CT-CityState:PR-StateName	7:CT-CityState:PR-City	7:CT-CityState:PR-State-Abbr	8:PR-Zipcode5Digit	9:CT-TemperatureF:PR-QuantitativeValue	9:CT-TemperatureF:PR-Degree	9:CT-TemperatureF:PR-UnitFahrenheit	10:PR-Sky	11:PR-WindSpeed	12:CT-Wind:PR-Windspeed	12:CT-Wind:PR-WindDirection	13:CT-VisibilityMiles:PR-QuantitativeValue	13:CT-VisibilityMiles:PR-UnitMiles	14:CT-TemperatureF:PR-QuantitativeValue	15:PR-Humidity	16:CT-TemperatureC:PR-QuantitativeValue	16:CT-TemperatureC:PR-Degree	16:CT-TemperatureC:PR-UnitCelcius	17:CT-PressureInches:PR-QuantitativeValue	17:CT-PressureInches:PR-UnitInches	18:CT-PressureBar:PR-QuantitativeValue	18:CT-PressureBar:PR-UnitBar	19:CT-PressurePascal:PR-QuantitativeValue	19:CT-PressurePascal:PR-UnitPascal	20:PR-WindDirection
NULL	NULL	NULL	12	53	PM	NULL	NULL	NULL	NULL	12	53	PM	NULL	NULL	NULL	NULL	NULL	Houston	Texas	NULL	NULL	77041	90	NULL	F	Mostly Cloudy	9mph	9	SSE	10.00	mi	90	37%	NULL	NULL	NULL	30.22	in	NULL	NULL	1023	hPa	SSE
NULL	NULL	NULL	1	54	PM	NULL	NULL	NULL	NULL	1	54	PM	NULL	NULL	NULL	NULL	NULL	Shawnee Mission	Kansas	NULL	NULL	66216	85	NULL	F	Partly Cloudy	14mph	14	S	10.00	mi	85	37%	NULL	NULL	NULL	30.23	in	NULL	NULL	1024	hPa	S
NULL	NULL	NULL	2	54	PM	NULL	NULL	NULL	NULL	2	54	PM	NULL	NULL	NULL	NULL	NULL	Palmyra	New York	NULL	NULL	14522	84	NULL	F	Mostly Cloudy	17mph	17	SW	7.00	mi	84	37%	NULL	NULL	NULL	30.25	in	NULL	NULL	1024	hPa	SW
NULL	NULL	NULL	2	51	PM	NULL	NULL	NULL	NULL	2	51	PM	NULL	NULL	NULL	NULL	NULL	Arlington	Virginia	NULL	NULL	22204	88	NULL	F	Partly Cloudy	13mph	13	S	8.00	mi	88	37%	NULL	NULL	NULL	30.14	in	NULL	NULL	1020	hPa	S
NULL	NULL	NULL	3	00	PM	NULL	NULL	NULL	NULL	3	00	PM	NULL	NULL	NULL	NULL	NULL	Miami Beach	Florida	NULL	NULL	33160	79	NULL	F	Rain	5mph	5	SE	10.00	mi	79	37%	NULL	NULL	NULL	30.14	in	NULL	NULL	1020	hPa	SE
NULL	NULL	NULL	2	45	PM	NULL	NULL	NULL	NULL	2	45	PM	NULL	NULL	NULL	NULL	NULL	Middle River	Maryland	NULL	NULL	21220	84	NULL	F	Haze	12mph	12	SE	5.00	mi	84	37%	NULL	NULL	NULL	30.07	in	NULL	NULL	1018	hPa	SE
NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	NULL	Nashville	Tennessee	NULL	NULL	37201	84	NULL	F	Thunder	5mph	5	E	10.00	mi	84	39%	NULL	NULL	NULL	30.55	in	NULL	NULL	1034	hPa	E
NULL	NULL	NULL	2	51	PM	NULL	NULL	NULL	NULL	2	51	PM	NULL	NULL	NULL	NULL	NULL	Charlotte	North Carolina	NULL	NULL	28202	88	NULL	F	Haze	6mph	6	SW	6.00	mi	88	40%	NULL	NULL	NULL	30.18	in	NULL	NULL	1022	hPa	SW
NULL	NULL	NULL	2	15	PM	NULL	NULL	NULL	NULL	2	15	PM	NULL	NULL	NULL	NULL	NULL	Alexandria	Louisiana	NULL	NULL	71302	90	NULL	F	Partly Cloudy	6mph	6	SSE	10.00	mi	90	41%	NULL	NULL	NULL	30.27	in	NULL	NULL	1025	hPa	SSE
NULL	NULL	NULL	11	50	AM	NULL	NULL	NULL	NULL	11	50	AM	NULL	NULL	NULL	NULL	NULL	Benton City	Washington	NULL	NULL	99320	65	NULL	F	Cloudy	8mph	8	N	Unlimited	NULL	65	42%	NULL	NULL	NULL	30.09	in	NULL	NULL	1018.8	hPa	N
NULL	NULL	NULL	11	56	AM	NULL	NULL	NULL	NULL	11	56	AM	NULL	NULL	NULL	NULL	NULL	Dayton	Nevada	NULL	NULL	89403	59	NULL	F	Partly Cloudy	17mph	17	WNW	10.00	mi	59	42%	NULL	NULL	NULL	30.48	in	NULL	NULL	1032.1	hPa	WNW
NULL	NULL	NULL	1	23	PM	NULL	NULL	NULL	NULL	1	23	PM	NULL	NULL	NULL	NULL	NULL	Evanston	Wyoming	NULL	NULL	82930	41	NULL	F	Cloudy	18mph	18	WNW	10.00	mi	41	43%	NULL	NULL	NULL	30.48	in	NULL	NULL	1032	hPa	WNW
NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	NULL	Southaven	Mississippi	NULL	NULL	38671	74	NULL	F	Cloudy	10mph	10	E	10.00	mi	74	44%	NULL	NULL	NULL	30.19	in	NULL	NULL	1022	hPa	E
NULL	NULL	NULL	2	54	PM	NULL	NULL	NULL	NULL	2	54	PM	NULL	NULL	NULL	NULL	NULL	Greenwood	Delaware	NULL	NULL	19950	89	NULL	F	Fair	8mph	8	SSW	10.00	mi	89	47%	NULL	NULL	NULL	30.17	in	NULL	NULL	1022	hPa	SSW
NULL	NULL	NULL	2	53	PM	NULL	NULL	NULL	NULL	2	53	PM	NULL	NULL	NULL	NULL	NULL	Plantsville	Connecticut	NULL	NULL	06479	80	NULL	F	Fair	13mph	13	SSW	7.00	mi	80	47%	NULL	NULL	NULL	30.16	in	NULL	NULL	1021	hPa	SSW
NULL	NULL	NULL	10	55	AM	NULL	NULL	NULL	NULL	10	55	AM	NULL	NULL	NULL	NULL	NULL	Tucson	Arizona	NULL	NULL	85741	87	NULL	F	Fair	12mph	12	S	10.00	mi	87	48%	NULL	NULL	NULL	30.17	in	NULL	NULL	1022	hPa	S
NULL	NULL	NULL	12	32	PM	NULL	NULL	NULL	NULL	12	32	PM	NULL	NULL	NULL	NULL	NULL	Cottonwood Falls	Kansas	NULL	NULL	66845	81	NULL	F	Mostly Cloudy	13mph	13	SSE	10.00	mi	81	48%	NULL	NULL	NULL	30.21	in	NULL	NULL	1023	hPa	SSE
NULL	NULL	NULL	12	55	PM	NULL	NULL	NULL	NULL	12	55	PM	NULL	NULL	NULL	NULL	NULL	Whitefish	Montana	NULL	NULL	59937	54	NULL	F	Mostly Cloudy	3mph	3	VAR	10.00	mi	54	48%	NULL	NULL	NULL	30.15	in	NULL	NULL	1021	hPa	VAR
NULL	NULL	NULL	3	20	PM	NULL	NULL	NULL	NULL	3	20	PM	NULL	NULL	NULL	NULL	NULL	Chauncey	Georgia	NULL	NULL	31011	91	NULL	F	Fair	7mph	7	SSE	10.00	mi	91	49%	NULL	NULL	NULL	30.28	in	NULL	NULL	1025	hPa	SSE
NULL	NULL	NULL	2	15	PM	NULL	NULL	NULL	NULL	2	15	PM	NULL	NULL	NULL	NULL	NULL	Rushmore	Minnesota	NULL	NULL	56168	84	NULL	F	Fair	15mph	15	SW	10.00	mi	84	50%	NULL	NULL	NULL	29.89	in	NULL	NULL	1012.1	hPa	SW
NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	NULL	Dallas	Texas	NULL	NULL	75204	91	NULL	F	Mostly Cloudy	13mph	13	SSW	10.00	mi	91	50%	NULL	NULL	NULL	30.07	in	NULL	NULL	1018	hPa	SSW
NULL	NULL	NULL	11	53	AM	NULL	NULL	NULL	NULL	11	53	AM	NULL	NULL	NULL	NULL	NULL	Redmond	Washington	NULL	NULL	98052	57	NULL	F	Mostly Cloudy	5mph	5	N	10.00	mi	57	51%	NULL	NULL	NULL	30.22	in	NULL	NULL	1023	hPa	N
NULL	NULL	NULL	2	51	PM	NULL	NULL	NULL	NULL	2	51	PM	NULL	NULL	NULL	NULL	NULL	Atlanta	Georgia	NULL	NULL	30302	87	NULL	F	Partly Cloudy	8mph	8	SE	8.00	mi	87	52%	NULL	NULL	NULL	30.22	in	NULL	NULL	1023.2	hPa	SE
NULL	NULL	NULL	11	56	AM	NULL	NULL	NULL	NULL	11	56	AM	NULL	NULL	NULL	NULL	NULL	Flagstaff	Arizona	NULL	NULL	86001	65	NULL	F	Fair	20mph	20	SW	10.00	mi	65	54%	NULL	NULL	NULL	30.29	in	NULL	NULL	1025.6	hPa	SW
NULL	NULL	NULL	2	30	PM	NULL	NULL	NULL	NULL	2	30	PM	NULL	NULL	NULL	NULL	NULL	Fremont	Nebraska	NULL	NULL	68025	88	NULL	F	Partly Cloudy	13mph	13	S	10.00	mi	88	54%	NULL	NULL	NULL	30.25	in	NULL	NULL	1024	hPa	S
NULL	NULL	NULL	12	53	PM	NULL	NULL	NULL	NULL	12	53	PM	NULL	NULL	NULL	NULL	NULL	Linden	Tennessee	NULL	NULL	37096	73	NULL	F	Light Rain	10mph	10	WNW	10.00	mi	73	56%	NULL	NULL	NULL	30.23	in	NULL	NULL	1024	hPa	WNW
NULL	NULL	NULL	1	55	PM	NULL	NULL	NULL	NULL	1	55	PM	NULL	NULL	NULL	NULL	NULL	Milton	Florida	NULL	NULL	32570	75	NULL	F	Mostly Cloudy	0mph	0	CALM	7.00	mi	75	59%	NULL	NULL	NULL	30.06	in	NULL	NULL	1018	hPa	CALM
NULL	NULL	NULL	1	54	PM	NULL	NULL	NULL	NULL	1	54	PM	NULL	NULL	NULL	NULL	NULL	Laurel	Delaware	NULL	NULL	19956	88	NULL	F	Partly Cloudy	9mph	9	S	8.00	mi	88	61%	NULL	NULL	NULL	30.63	in	NULL	NULL	1037	hPa	S
NULL	NULL	NULL	12	35	PM	NULL	NULL	NULL	NULL	12	35	PM	NULL	NULL	NULL	NULL	NULL	La Fontaine	Indiana	NULL	NULL	46940	82	NULL	F	Fair	7mph	7	W	10.00	mi	82	62%	NULL	NULL	NULL	30.18	in	NULL	NULL	1022	hPa	W
NULL	NULL	NULL	N/A	N/A	AM	NULL	NULL	NULL	NULL	N/A	N/A	AM	NULL	NULL	NULL	NULL	NULL	Rapid City	South Dakota	NULL	NULL	57702	N/A	NULL	F	(N/AC)	NULL	NULL	NULL	NULL	NULL	N/A	62%	NULL	NULL	NULL	30.18	in	NULL	NULL	1022	hPa	NULL
NULL	NULL	NULL	11	59	AM	NULL	NULL	NULL	NULL	11	59	AM	NULL	NULL	NULL	NULL	NULL	Stanley	North Dakota	NULL	NULL	58784	68	NULL	F	Mostly Cloudy	N/A	N/A	NE	7.00	mi	68	63%	NULL	NULL	NULL	29.87	in	NULL	NULL	1011	hPa	NE
NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	NULL	Guthrie	Oklahoma	NULL	NULL	73044	88	NULL	F	Fair	10mph	10	SSW	6.21	mi	88	63%	NULL	NULL	NULL	30.18	in	NULL	NULL	1022	hPa	SSW
NULL	NULL	NULL	1	52	PM	NULL	NULL	NULL	NULL	1	52	PM	NULL	NULL	NULL	NULL	NULL	Bismarck	North Dakota	NULL	NULL	58501	79	NULL	F	Fair	20mph	20	ESE	10.00	mi	79	63%	NULL	NULL	NULL	30.18	in	NULL	NULL	1022	hPa	ESE
NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	NULL	Saint Louis	Missouri	NULL	NULL	63138	73	NULL	F	Light Rain with Thunder	6mph	6	NNE	10.00	mi	73	65%	NULL	NULL	NULL	30.06	in	NULL	NULL	1018	hPa	NNE
NULL	NULL	NULL	11	16	AM	NULL	NULL	NULL	NULL	11	16	AM	NULL	NULL	NULL	NULL	NULL	Petersburg	Alaska	NULL	NULL	99833	61	NULL	F	Fair	N/A	N/A	10.00	10.00	NULL	61	68%	NULL	NULL	NULL	30.53	in	NULL	NULL	1033.7	hPa	S
NULL	NULL	NULL	10	53	AM	NULL	NULL	NULL	NULL	10	53	AM	NULL	NULL	NULL	NULL	NULL	Columbia	South Carolina	NULL	NULL	29201	83	NULL	F	Fair	3mph	3	VAR	9.00	mi	83	73%	NULL	NULL	NULL	30.48	in	NULL	NULL	1032	hPa	VAR
NULL	NULL	NULL	2	55	PM	NULL	NULL	NULL	NULL	2	55	PM	NULL	NULL	NULL	NULL	NULL	Fraser	Michigan	NULL	NULL	48026	84	NULL	F	Partly Cloudy	14mph	14	W	Unlimited	NULL	84	73%	NULL	NULL	NULL	30.48	in	NULL	NULL	1032	hPa	W
NULL	NULL	NULL	1	54	PM	NULL	NULL	NULL	NULL	1	54	PM	NULL	NULL	NULL	NULL	NULL	Troy	Missouri	NULL	NULL	63379	76	NULL	F	Cloudy	6mph	6	ESE	10.00	mi	76	76%	NULL	NULL	NULL	30.18	in	NULL	NULL	1022	hPa	ESE
NULL	NULL	NULL	2	56	PM	NULL	NULL	NULL	NULL	2	56	PM	NULL	NULL	NULL	NULL	NULL	Hubert	North Carolina	NULL	NULL	28539	86	NULL	F	Partly Cloudy	13mph	13	S	7.00	mi	86	78%	NULL	NULL	NULL	30.48	in	NULL	NULL	1032.1	hPa	S
NULL	NULL	NULL	08	53	AM	NULL	NULL	NULL	NULL	08	53	AM	NULL	NULL	NULL	NULL	NULL	Honolulu	Hawaii	NULL	NULL	96801	83	NULL	F	Partly Cloudy	12mph	12	E	10.00	mi	83	80%	NULL	NULL	NULL	30	in	NULL	NULL	1016	hPa	E
NULL	NULL	NULL	2	54	PM	NULL	NULL	NULL	NULL	2	54	PM	NULL	NULL	NULL	NULL	NULL	Great Barrington	Massachusetts	NULL	NULL	01230	83	NULL	F	Partly Cloudy	18mph	18	S	9.00	mi	83	80%	NULL	NULL	NULL	29.91	in	NULL	NULL	1013	hPa	S
NULL	NULL	NULL	12	53	PM	NULL	NULL	NULL	NULL	12	53	PM	NULL	NULL	NULL	NULL	NULL	Sturtevant	Wisconsin	NULL	NULL	53177	83	NULL	F	Partly Cloudy	14mph	14	W	10.00	mi	83	80%	NULL	NULL	NULL	29.91	in	NULL	NULL	1013	hPa	W
NULL	NULL	NULL	2	51	PM	NULL	NULL	NULL	NULL	2	51	PM	NULL	NULL	NULL	NULL	NULL	Yarmouth	Maine	NULL	NULL	04096	50	NULL	F	Fog	7mph	7	ENE	0.50	mi	50	NULL	NULL	NULL	NULL	30.11	in	NULL	NULL	1020	hPa	ENE
NULL	NULL	NULL	1	51	PM	NULL	NULL	NULL	NULL	1	51	PM	NULL	NULL	NULL	NULL	NULL	Florissant	Missouri	NULL	NULL	63033	75	NULL	F	Cloudy	0mph	0	CALM	10.00	mi	75	NULL	NULL	NULL	NULL	30.16	in	NULL	NULL	1021	hPa	CALM
NULL	NULL	NULL	2	53	PM	NULL	NULL	NULL	NULL	2	53	PM	NULL	NULL	NULL	NULL	NULL	Manchester	New Hampshire	NULL	NULL	03101	62	NULL	F	Cloudy	7mph	7	ESE	7.00	mi	62	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ESE
NULL	NULL	NULL	11	47	AM	NULL	NULL	NULL	NULL	11	47	AM	NULL	NULL	NULL	NULL	NULL	Los Angeles	California	NULL	NULL	90001	72	NULL	F	Partly Cloudy	7mph	7	VAR	10.00	mi	72	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VAR
NULL	NULL	NULL	2	15	PM	NULL	NULL	NULL	NULL	2	15	PM	NULL	NULL	NULL	NULL	NULL	Denham Springs	Louisiana	NULL	NULL	70726	79	NULL	F	Mostly Cloudy	12mph	12	NE	10.00	mi	79	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NE
NULL	NULL	NULL	1	54	PM	NULL	NULL	NULL	NULL	1	54	PM	NULL	NULL	NULL	NULL	NULL	Fairfield	Connecticut	NULL	NULL	06824	65	NULL	F	Haze	15mph	15	E	4.00	mi	65	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	E
NULL	NULL	NULL	1	52	PM	NULL	NULL	NULL	NULL	1	52	PM	NULL	NULL	NULL	NULL	NULL	Milwaukee	Wisconsin	NULL	NULL	53228	84	NULL	F	Partly Cloudy	17mph	17	W	10.00	mi	84	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	W
NULL	NULL	NULL	3	15	PM	NULL	NULL	NULL	NULL	3	15	PM	NULL	NULL	NULL	NULL	NULL	Belleview	Florida	NULL	NULL	34420	88	NULL	F	Partly Cloudy	5mph	5	ENE	10.00	mi	88	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ENE
NULL	NULL	NULL	11	53	AM	NULL	NULL	NULL	NULL	11	53	AM	NULL	NULL	NULL	NULL	NULL	Winner	South Dakota	NULL	NULL	57580	82	NULL	F	Fair	20mph	20	S	10.00	mi	82	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	11	51	AM	NULL	NULL	NULL	NULL	11	51	AM	NULL	NULL	NULL	NULL	NULL	Laughlin	Nevada	NULL	NULL	89029	86	NULL	F	Sunny	18mph	18	SSW	Unlimited	NULL	86	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	SSW
NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	NULL	Dover Foxcroft	Maine	NULL	NULL	04426	55	NULL	F	Cloudy	13mph	13	S	10.00	mi	55	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	NULL	Mount Prospect	Illinois	NULL	NULL	60056	88	NULL	F	Partly Cloudy	15mph	15	W	10.00	mi	88	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	W
NULL	NULL	NULL	11	54	AM	NULL	NULL	NULL	NULL	11	54	AM	NULL	NULL	NULL	NULL	NULL	Quincy	Illinois	NULL	NULL	62301	84	NULL	F	Fair	14mph	14	WSW	10.00	mi	84	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	WSW
NULL	NULL	NULL	2	53	PM	NULL	NULL	NULL	NULL	2	53	PM	NULL	NULL	NULL	NULL	NULL	Tampa	Florida	NULL	NULL	33602	88	NULL	F	Mostly Cloudy	6mph	6	VAR	10.00	mi	88	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	VAR
NULL	NULL	NULL	11	53	AM	NULL	NULL	NULL	NULL	11	53	AM	NULL	NULL	NULL	NULL	NULL	Tinley Park	Illinois	NULL	NULL	60477	83	NULL	F	Mostly Cloudy	14mph	14	WSW	10.00	mi	83	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	WSW
NULL	NULL	NULL	1	52	PM	NULL	NULL	NULL	NULL	1	52	PM	NULL	NULL	NULL	NULL	NULL	Milwaukee	Wisconsin	NULL	NULL	53202	84	NULL	F	Partly Cloudy	17mph	17	W	10.00	mi	84	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	W
NULL	NULL	NULL	12	50	PM	NULL	NULL	NULL	NULL	12	50	PM	NULL	NULL	NULL	NULL	NULL	Glenwood	New Mexico	NULL	NULL	88039	90	NULL	F	Fair	8mph	8	SW	10.00	mi	90	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	SW
NULL	NULL	NULL	1	55	PM	NULL	NULL	NULL	NULL	1	55	PM	NULL	NULL	NULL	NULL	NULL	Duluth	Minnesota	NULL	NULL	55803	68	NULL	F	Partly Cloudy	17mph	17	WNW	10.00	mi	68	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	WNW
NULL	NULL	NULL	2	53	PM	NULL	NULL	NULL	NULL	2	53	PM	NULL	NULL	NULL	NULL	NULL	Hillsborough	New Jersey	NULL	NULL	08844	89	NULL	F	Partly Cloudy	8mph	8	SSW	8.00	mi	89	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	SSW
NULL	NULL	NULL	3	51	PM	NULL	NULL	NULL	NULL	3	51	PM	NULL	NULL	NULL	NULL	NULL	Warner	New Hampshire	NULL	NULL	03278	63	NULL	F	Cloudy	7mph	7	S	10.00	mi	63	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	2	46	PM	NULL	NULL	NULL	NULL	2	46	PM	NULL	NULL	NULL	NULL	NULL	Mena	Arkansas	NULL	NULL	71953	88	NULL	F	Fair	3mph	3	S	10.00	mi	88	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	10	53	AM	NULL	NULL	NULL	NULL	10	53	AM	NULL	NULL	NULL	NULL	NULL	Tacoma	Washington	NULL	NULL	98466	57	NULL	F	Partly Cloudy	8mph	8	W	10.00	mi	57	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	W
NULL	NULL	NULL	12	53	PM	NULL	NULL	NULL	NULL	12	53	PM	NULL	NULL	NULL	NULL	NULL	Garden Valley	Idaho	NULL	NULL	83622	59	NULL	F	Fair	9mph	9	NW	10.00	mi	59	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NW
NULL	NULL	NULL	12	51	PM	NULL	NULL	NULL	NULL	12	51	PM	NULL	NULL	NULL	NULL	NULL	Victoria	Texas	NULL	NULL	77904	89	NULL	F	Fair	16mph	16	SSE	10.00	mi	89	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	SSE
NULL	NULL	NULL	12	32	PM	NULL	NULL	NULL	NULL	12	32	PM	NULL	NULL	NULL	NULL	NULL	Emporia	Kansas	NULL	NULL	66801	81	NULL	F	Mostly Cloudy	13mph	13	SSE	10.00	mi	81	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	SSE
NULL	NULL	NULL	2	54	PM	NULL	NULL	NULL	NULL	2	54	PM	NULL	NULL	NULL	NULL	NULL	Madison	Mississippi	NULL	NULL	39110	77	NULL	F	Cloudy	6mph	6	S	10.00	mi	77	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	2	35	PM	NULL	NULL	NULL	NULL	2	35	PM	NULL	NULL	NULL	NULL	NULL	Waupaca	Wisconsin	NULL	NULL	54981	79	NULL	F	Fair	16mph	16	W	10.00	mi	79	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	W
NULL	NULL	NULL	1	55	PM	NULL	NULL	NULL	NULL	1	55	PM	NULL	NULL	NULL	NULL	NULL	Indianapolis	Indiana	NULL	NULL	46201	85	NULL	F	Partly Cloudy	8mph	8	WSW	10.00	mi	85	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	WSW
NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	NULL	Louisville	Kentucky	NULL	NULL	40207	90	NULL	F	Partly Cloudy	12mph	12	W	10.00	mi	90	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	W
NULL	NULL	NULL	12	53	PM	NULL	NULL	NULL	NULL	12	53	PM	NULL	NULL	NULL	NULL	NULL	Boise	Idaho	NULL	NULL	83702	59	NULL	F	Fair	9mph	9	NW	10.00	mi	59	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NW
NULL	NULL	NULL	2	53	PM	NULL	NULL	NULL	NULL	2	53	PM	NULL	NULL	NULL	NULL	NULL	Detroit	Michigan	NULL	NULL	48202	84	NULL	F	Partly Cloudy	20mph	20	W	10.00	mi	84	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	W
NULL	NULL	NULL	12	53	PM	NULL	NULL	NULL	NULL	12	53	PM	NULL	NULL	NULL	NULL	NULL	Longmont	Colorado	NULL	NULL	80501	81	NULL	F	Partly Cloudy	12mph	12	W	Unlimited	NULL	81	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	W
NULL	NULL	NULL	3	40	PM	NULL	NULL	NULL	NULL	3	40	PM	NULL	NULL	NULL	NULL	NULL	Pacolet	South Carolina	NULL	NULL	29372	90	NULL	F	Fair	7mph	7	SSE	10.00	mi	90	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	SSE
NULL	NULL	NULL	2	54	PM	NULL	NULL	NULL	NULL	2	54	PM	NULL	NULL	NULL	NULL	NULL	Waynesville	North Carolina	NULL	NULL	28785	83	NULL	F	Partly Cloudy	10mph	10	SSW	10.00	mi	83	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	SSW
NULL	NULL	NULL	2	45	PM	NULL	NULL	NULL	NULL	2	45	PM	NULL	NULL	NULL	NULL	NULL	Dardanelle	Arkansas	NULL	NULL	72834	91	NULL	F	Thunder in the Vicinity	8mph	8	SE	10.00	mi	91	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	SE
NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	1	53	PM	NULL	NULL	NULL	NULL	NULL	Saint Louis	Missouri	NULL	NULL	63101	73	NULL	F	Light Rain with Thunder	6mph	6	NNE	10.00	mi	73	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NNE
NULL	NULL	NULL	2	54	PM	NULL	NULL	NULL	NULL	2	54	PM	NULL	NULL	NULL	NULL	NULL	Cambridge	Massachusetts	NULL	NULL	02138	61	NULL	F	Partly Cloudy	9mph	9	E	10.00	mi	61	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	E
NULL	NULL	NULL	11	53	AM	NULL	NULL	NULL	NULL	11	53	AM	NULL	NULL	NULL	NULL	NULL	Bowling Green	Ohio	NULL	NULL	43402	79	NULL	F	Fair	15mph	15	W	10.00	mi	79	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	W
NULL	NULL	NULL	3	51	PM	NULL	NULL	NULL	NULL	3	51	PM	NULL	NULL	NULL	NULL	NULL	Columbus	Ohio	NULL	NULL	43085	88	NULL	F	Partly Cloudy	16mph	16	WSW	10.00	mi	88	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	WSW
NULL	NULL	NULL	3	35	PM	NULL	NULL	NULL	NULL	3	35	PM	NULL	NULL	NULL	NULL	NULL	Winsted	Connecticut	NULL	NULL	06098	75	NULL	F	Fair	12mph	12	S	10.00	mi	75	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	S
NULL	NULL	NULL	2	51	PM	NULL	NULL	NULL	NULL	2	51	PM	NULL	NULL	NULL	NULL	NULL	Bethesda	Maryland	NULL	NULL	20814	88	NULL	F	Partly Cloudy	13mph	13	S	8.00	mi	88	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	S
